street_number,actual_street_name,Suburb,price_realised_1895,details_1896,price_realised_1896,d_1895,d_1896,price_ratio,lprice_diff,lrents_diff,lgroundrents_diff,details_1897,price_realised_1897,d_1897,details_1898,price_realised_1898,d_1898,details_1899,price_realised_1899,d_1899,details_1900,price_realised_1900,d_1900,details_1901,price_realised_1901,d_1901,details_1902,price_realised_1902,d_1902,details_1903,price_realised_1903,d_1903,details_1904,price_realised_1904,d_1904,details_1905,price_realised_1905,d_1905,details_1906,price_realised_1906,d_1906,details_1907,price_realised_1907,d_1907,details_1908,price_realised_1908,d_1908,details_1909,price_realised_1909,d_1909,details_1910,price_realised_1910,d_1910,details_1911,price_realised_1911,d_1911,details_1912,price_realised_1912,d_1912,details_1913,price_realised_1913,d_1913,details_1914,price_realised_1914,d_1914
1,DORNTON ROAD,BALHAM,250,"UT 77 YEARS, GR £7 10S., R £35",350,-1,1,1.4,0.336472237,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
134,DEVONS ROAD,BROMLEY-BY-BOW,300,"F, R £43 15S.",350,-1,1,1.166666667,0.15415068,0.338073518,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
234,CAMBERWELL ROAD,CAMBERWELL,450,"UT 24 YEARS, GR £5 6S. 8D., R £48",430,-1,1,0.955555556,-0.045462374,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
37,CAMBRIDGE STREET,PIMLICO,400,"UT 30 YEARS, GR £7, R £55",380,-1,1,0.95,-0.051293294,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
37,MORTIMER ROAD,DE BEAUVOIR TOWN,255,"UT 20 YEARS, GR £1, R £40",270,-1,1,1.058823529,0.057158414,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
50,GOLD STREET,STEPNEY,100,"UT 29¾ YEARS, GR £3, WR £28 12S.",165,-1,1,1.65,0.500775288,0.046520016,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
6,LOWER RANELAGH GROVE,PIMLICO,200,"R £30, AND A GR OF £2, UT 27 YEARS, GR £5 10S. ON THE WHOLE",245,-1,1,1.225,0.202940844,-1.696449289,-1.011600912,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
124,LORRIMORE ROAD,WALWORTH,350,,,-1,0,0.971428571,-0.028987537,0.064538521,0,"UT 53 YEARS, GR £4 10S., MT £32",340,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
153,CAMBRIDGE ROAD,BETHNAL GREEN,450,,,-1,0,1.022222222,0.021978907,0.182321557,,"F, YR £36",460,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
157,CAMBRIDGE ROAD,BETHNAL GREEN,510,,,-1,0,1.009803922,0.009756175,0,,"F, R £26",515,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
177,CAMBRIDGE ROAD,BETHNAL GREEN,400,,,-1,0,1.1375,0.128832872,-0.375906306,,"F, R £20 12S.",455,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
19,ASPENLEA ROAD,FULHAM,160,,,-1,0,1.375,0.318453731,0,0,"UT 81 YEARS, GR £4 10S., R £31 4S.",220,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
2,DAWLISH ROAD,TOTTENHAM,140,,,-1,0,1.428571429,0.356674944,0,0,"UT 71 YEARS, GR £6, MT £28",200,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
30,CARTER STREET,WALWORTH,340,,,-1,0,1.029411765,0.028987537,0,0,"UT 84 YEARS, GR £6 10S., QT £30",350,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
33,PENGE ROAD,NORWOOD,105,,,-1,0,1.857142857,0.619039208,,0,"UT 70 YEARS, GR £8, YR £28",195,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
49,MILDMAY PARK,STOKE NEWINGTON,845,,,-1,0,1.479289941,0.391562203,0.292136423,,"F, ER £75",1250,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
70,SOUTHAMPTON STREET,CAMBERWELL,425,,,-1,0,1.929411765,0.657215171,0.662375522,,"F, R £64",820,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
