street_number,actual_street_name,Suburb,country,Borough,County,london_region,region,Date,day,month,year,quarter,value,tenure_type,tenancy_type,leasehold_unexpired_term,ground_rent_dummy,ground_rent_inpounds,rent_yearly_inpounds,years_purchase
68,AVENUE ROAD,ACTON,UNITED KINGDOM,Ealing,Greater London,OUTER,Greater London,14-08-1895,14,8,1895,3,340,FREEHOLD,YEARLY,999,0,,38,8.947368421
12,BURLINGTON GARDENS,ACTON,UNITED KINGDOM,Ealing,Greater London,OUTER,Greater London,05-07-1895,5,7,1895,3,220,LEASEHOLD,YEARLY,81,1,9,32,6.875
13,MILL HILL ROAD,ACTON,UNITED KINGDOM,Ealing,Greater London,OUTER,Greater London,25-07-1895,25,7,1895,3,1300,FREEHOLD,YEARLY,999,0,,70,18.57142857
74,MILL HILL ROAD,ACTON,UNITED KINGDOM,Ealing,Greater London,OUTER,Greater London,31-10-1895,31,10,1895,4,420,FREEHOLD,YEARLY,999,0,,30,14
17,WOODHURST ROAD,ACTON,UNITED KINGDOM,Ealing,Greater London,OUTER,Greater London,08-11-1895,8,11,1895,4,445,FREEHOLD,YEARLY,999,0,,35,12.71428571
21,HUTCHINSONS AVENUE,ALDGATE,UNITED KINGDOM,City of,Greater London,INNER,Greater London,11-07-1895,11,7,1895,3,360,FREEHOLD,YEARLY,999,0,,,
22,HUTCHINSONS AVENUE,ALDGATE,UNITED KINGDOM,City of,Greater London,INNER,Greater London,11-07-1895,11,7,1895,3,360,FREEHOLD,YEARLY,999,0,,,
82,ANERLEY PARK,ANERLEY,UNITED KINGDOM,Bromley,Greater London,OUTER,Greater London,29-04-1895,29,4,1895,2,210,LEASEHOLD,YEARLY,23,1,15,,
169,CROYDON ROAD,ANERLEY,UNITED KINGDOM,Bromley,Greater London,OUTER,Greater London,30-04-1895,30,4,1895,2,230,LEASEHOLD,YEARLY,75,1,15,,
11,STATION ROAD,ANERLEY,UNITED KINGDOM,Bromley,Greater London,OUTER,Greater London,04-04-1895,4,4,1895,2,370,FREEHOLD,YEARLY,999,0,,35,10.57142857
10,THORNSETT ROAD,ANERLEY,UNITED KINGDOM,Bromley,Greater London,OUTER,Greater London,27-06-1895,27,6,1895,2,630,FREEHOLD,YEARLY,999,0,,45,14
26,THORNSETT ROAD,ANERLEY,UNITED KINGDOM,Bromley,Greater London,OUTER,Greater London,27-06-1895,27,6,1895,2,630,FREEHOLD,YEARLY,999,0,,45,14
19,BELLAMY ROAD,BALHAM,UNITED KINGDOM,Wandswo,Greater London,INNER,Greater London,16-05-1895,16,5,1895,2,285,FREEHOLD,YEARLY,999,0,,20.8,13.70192308
23,CHERITON SQUARE,BALHAM,UNITED KINGDOM,Wandswo,Greater London,INNER,Greater London,08-05-1895,8,5,1895,2,335,LEASEHOLD,YEARLY,87,1,5.25,33,10.15151515
1,DORNTON ROAD,BALHAM,UNITED KINGDOM,Wandswo,Greater London,INNER,Greater London,14-11-1895,14,11,1895,4,250,LEASEHOLD,YEARLY,78,1,7.5,35,7.142857143
41,ORMELEY ROAD,BALHAM,UNITED KINGDOM,Wandswo,Greater London,INNER,Greater London,28-03-1895,28,3,1895,1,255,LEASEHOLD,YEARLY,94,1,5.5,39,6.538461539
7,RYDE VALE ROAD,BALHAM,UNITED KINGDOM,Wandswo,Greater London,INNER,Greater London,14-11-1895,14,11,1895,4,350,LEASEHOLD,YEARLY,79,1,10,45,7.777777778
68,TEMPERLEY ROAD,BALHAM,UNITED KINGDOM,Wandswo,Greater London,INNER,Greater London,16-05-1895,16,5,1895,2,290,FREEHOLD,YEARLY,999,0,,31.1,9.324758842
113,BALLS POND ROAD,BALLS POND,UNITED KINGDOM,Hackney,Greater London,INNER,Greater London,20-05-1895,20,5,1895,2,75,LEASEHOLD,YEARLY,8,1,4,28,2.678571429
129,BALLS POND ROAD,BALLS POND,UNITED KINGDOM,Hackney,Greater London,INNER,Greater London,15-08-1895,15,8,1895,3,540,FREEHOLD,YEARLY,999,0,,,
229,BALLS POND ROAD,BALLS POND,UNITED KINGDOM,Hackney,Greater London,INNER,Greater London,20-11-1895,20,11,1895,4,470,FREEHOLD,YEARLY,999,0,,45,10.44444444
41,NORFOLK ROAD,BALLS POND,UNITED KINGDOM,Hackney,Greater London,INNER,Greater London,24-11-1895,24,11,1895,4,345,LEASEHOLD,YEARLY,64,1,5,36,9.583333333
4,BEVERLEY ROAD,BARNES,UNITED KINGDOM,Richmon,Greater London,OUTER,Greater London,02-07-1895,2,7,1895,3,450,LEASEHOLD,YEARLY,70,1,5.55,48,9.375
16,CASTLENAU GARDENS EAST,BARNES,UNITED KINGDOM,Richmon,Greater London,OUTER,Greater London,03-12-1895,3,12,1895,4,650,LEASEHOLD,YEARLY,44,1,0.1,45,14.44444444
17,CASTLENAU GARDENS EAST,BARNES,UNITED KINGDOM,Richmon,Greater London,OUTER,Greater London,28-05-1895,28,5,1895,2,1140,LEASEHOLD,YEARLY,44,1,0.125,90,12.66666667
